DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2016,47.73603371,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,41.04449448,54.51618988,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2017,46.08293428,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,38.84190055,53.28359575,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2018,44.48374905,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,36.65325028,52.47186858,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2019,42.93958038,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,34.53089307,51.89344103,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2020,41.54435632,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,32.60433331,51.4090424,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1961,248.3949261,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,211.49093,296.614246,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1962,244.2865217,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,210.2502827,288.1812282,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1963,239.9951815,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,207.9312575,279.9491389,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1964,235.9489748,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,205.2765763,272.9393204,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1965,231.7413527,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,202.1144231,266.5845867,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1966,227.6616947,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,198.8306651,261.2389928,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1967,223.6050293,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,195.4763623,256.519516,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1968,219.6057122,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,192.1248432,252.1163399,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1969,215.5514778,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,188.4913654,247.6889773,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1970,211.5190014,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,185.102628,242.938284,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1971,207.5427483,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,181.6610912,238.6726915,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1972,203.5200009,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,178.2324779,234.1392878,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1973,199.5315487,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,175.2802322,229.1016445,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1974,195.1326959,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,171.9743153,224.5403966,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1975,191.0309668,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,168.6450169,219.6330859,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1976,186.9280895,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,165.2941653,214.4031721,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1977,182.659736,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,161.8308549,209.0902617,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1978,178.4746578,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,158.6094017,203.1922978,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1979,174.0990588,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,154.8516846,198.1433984,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1980,169.6387885,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,151.2692654,192.8476756,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1981,165.153566,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,147.7582371,187.3634309,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1982,160.7335835,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,144.3262109,181.8884335,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1983,156.3406706,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,140.9104476,176.1327773,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1984,152.0255647,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,137.2449565,170.5171562,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1985,147.7985693,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,133.8433077,164.8116634,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1986,143.530509,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,130.2986913,158.8379676,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1987,139.1861522,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,126.6906909,153.5324386,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1988,134.8270607,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,123.091471,147.9873037,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1989,130.6320699,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,119.7448382,142.7496032,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1990,126.4537446,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,116.2726461,137.7261115,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1991,122.6724445,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,112.9719816,132.9318928,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1992,119.0329236,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,109.7641047,128.4590883,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1993,115.6645585,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,106.8192642,124.5031732,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1994,112.4821264,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,103.9193555,120.8905589,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1995,109.3843751,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,101.2068194,117.3184691,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1996,106.6661876,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,98.82008292,114.3353547,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1997,103.8201739,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,96.37987927,111.3545733,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1998,101.0031797,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,94.0148202,108.4325826,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,1999,98.34111035,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,91.71877517,105.5275747,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2000,95.62204314,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,89.28519611,102.627372,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2001,92.91208638,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,86.79926839,99.66534843,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2002,90.06386522,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,84.18171966,96.65079098,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2003,87.29220743,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,81.61095051,93.65164814,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2004,84.5522393,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,78.97005727,90.63553323,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2005,81.71863196,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,76.30985277,87.57301427,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2006,78.91795226,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,73.64656914,84.65130727,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2007,76.06618923,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,70.97790863,81.77877589,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2008,73.28558977,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,68.32633972,78.86066624,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2009,70.60173837,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,65.53067909,76.14659631,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2010,67.94184622,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,62.75933514,73.65227508,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2011,65.41431035,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,60.10187051,71.35490048,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2012,63.0013263,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,57.47733779,69.26822702,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2013,60.75581373,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,54.78707657,67.2800654,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2014,58.56759715,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,52.18358395,65.4814836,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2015,56.5124361,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,49.47971108,63.77091098,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2016,54.56295802,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,46.96127768,62.31473754,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2017,52.78009545,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,44.45555947,61.03865498,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2018,51.13716999,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,42.20993358,60.29572678,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2019,49.57287494,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,39.98092038,59.87922472,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,M: Male,2020,48.11445051,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,37.73857751,59.64858681,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1961,237.4601389,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,202.7493382,281.6511691,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1962,233.2455236,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,201.5857572,273.4726461,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1963,229.2045521,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,199.485844,266.0616406,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1964,225.2839812,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,197.0761104,259.5112884,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1965,221.49701,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,193.9247588,253.7991499,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1966,217.740846,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,191.1141132,248.3513695,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1967,213.7886734,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,187.6799431,243.9457698,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1968,209.9179422,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,184.460102,239.835068,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1969,206.1610638,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,180.9783396,235.7020614,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1970,202.1647397,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,177.7264962,232.0497571,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1971,198.3675096,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,174.8053426,227.662705,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1972,194.5068542,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,171.6448484,223.2822533,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1973,190.6526855,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,168.6029419,218.5501452,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1974,186.7185735,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,165.4261554,213.7898513,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1975,182.7493451,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,162.330478,209.2825365,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1976,178.804561,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,159.2085051,204.1311102,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1977,174.8634821,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,155.8948071,199.1757938,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1978,170.7579846,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,152.376397,193.9790634,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1979,166.5245979,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,148.9353636,188.8108204,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1980,162.4162701,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,145.4972946,183.7457346,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1981,158.1855996,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,142.1016754,178.3892563,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1982,153.8732229,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,138.9145549,173.2295102,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1983,149.5684479,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,135.4855372,167.9301076,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1984,145.3894634,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,132.0767624,162.4262557,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1985,141.2741217,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,128.5087024,156.942058,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1986,137.1753574,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,125.0925493,151.453818,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1987,133.003163,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,121.6511501,146.1754362,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1988,128.9055197,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,118.2928989,141.1301841,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1989,124.7886214,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,114.9306203,136.10831,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,1990,120.8364292,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,111.6228022,131.2008176,,,,UN_IGME,,,,,,_T: Total
